case_id,M0_mech,M1_mech_llm,M2_llm
24c63918d7d1998ead3b1c3c,0.5587997276280328,0.6389572727113642,0.6614346311519317
4581a9fb94f77b2e61b5af5d,0.547933949872063,0.4712244434965752,0.4733410058225196
630e7d2a599484fc688a02aa,0.5357788650967475,0.4120466751746132,0.4282578315496619
00fd46c6c14a207e08ec65a6,0.5361173419790541,0.5078599556151941,0.5178390078893742
c41ca9988ddbece5dc13e99e,0.5461277860985352,0.5653074655870296,0.5749588961375167
a7891b3db1ccaf93060141a2,0.561288957375582,0.592022272443572,0.5730735457487993
cdbbd38a4153a6c76c32c0a4,0.5908480950625838,0.6466519162877472,0.623482299459658
8c863eb75fd6a7c6a87f586d,0.5534180274758577,0.5101798678896399,0.4891657543229459
c738aebebc8d87fca89d0271,0.5096255040674061,0.51398184858608,0.5297282187812322
21e0950006a5cd71fa0fe2e6,0.5170342092691322,0.459377968066872,0.4824653152843727
2a15d446d64fd5942b65329b,0.4986184861933358,0.5657164355345583,0.6019466629429466
dd0a2f221fc8027682234565,0.5351193807439748,0.635415191278224,0.6604021095679435
ce711407714ef33540935346,0.514752004614785,0.6147850219707172,0.645092994527942
fc9948f9950046d632dcd84c,0.5536763323797858,0.5106257198644824,0.4969075614699466
23c31516ed5a05bd30eaa15b,0.6209036503661755,0.661293353850257,0.6082556971186518
6c1487e21f7c6d68d48d4255,0.5330639882365735,0.4466327059014601,0.4434931950479501
846b9918d9d7870539ba9db4,0.6199530499401714,0.6113111240648338,0.562049457936798
323eaf41155023cc49dd1c27,0.581319305272979,0.6143433183170481,0.5895064265992541
aaf35b88acf7ea37bb76a2c6,0.5852736139511762,0.6723622308832189,0.6604906114179997
250e4d3b038a8cca30c62811,0.5584523651320512,0.4694830215463365,0.4626458994381145
627fee6be03456327670229b,0.5307289872538234,0.5082057295633104,0.5240785673119451
093e9c7dc848d0473b791ae4,0.4938147629896644,0.5306895571749146,0.5711197723729721
a892b5b111ee355b0f296249,0.4817521249460931,0.4646602348805922,0.5366016614970885
ea0501ed0090017c75880168,0.5447964181678776,0.4751893836151131,0.4750701951702281
047e79cf3e1b86bc53420fe6,0.5399189955632684,0.5861298392537146,0.5984281339908026
a36cac36fa2feeb187bf4606,0.6354241691795398,0.7300727535420425,0.6611396249850778
2278aebad2cf9677cd731569,0.5361437468667755,0.5761602932179104,0.585057774198201
89e8c08543017e4ad3eb5ec2,0.5776203128418993,0.6566433814032002,0.6440881149387718
3240e0bf937ba22cd69181e4,0.5616007278454673,0.6135007774292645,0.619475845627135
30fd5436d1244914596f0d7b,0.5120737658347708,0.4255939364820506,0.4502445059414784
fe0f58a68764fcebb43cb51b,0.5004802943409496,0.4668108014898442,0.5101295829089325
0e2cabc0710dc1d6d011455b,0.5162189623881264,0.6218561266310814,0.6605651392917312
b7433949217b4fa2566388cb,0.5783241491364775,0.4635126203189088,0.4260269225434639
aa6aae6b093a85a2464d74e9,0.6213075879558717,0.6318345340011782,0.5626831300686362
996b95fe48cb7a42336d461a,0.5030245179490298,0.4319724700896455,0.4640646459693909
e868008d6ff0994d4ccd6acd,0.5347034677372057,0.5898024347782937,0.5948703817714913
58355f2d462b5f9a2ab74505,0.5210135605943367,0.5043412761754156,0.5148147415164576
c828178799155cb097085153,0.5890845225409315,0.6312199700855111,0.5899781604491459
3ddc1e1d85f3793c8c858413,0.6112681400933925,0.5672832015250313,0.5186135901554998
1f1774f255f56716add3f0ab,0.5650556410215122,0.5194851975902043,0.4972327228971537
a391c7c858941e864b91a0ea,0.497905082930258,0.4967803698610484,0.5346505241720948
cd1fe639ff66ea0befb8ffaf,0.5321647338481306,0.6115668601002646,0.6374659594553433
0f02a514d40437b8310bb407,0.5874384107976838,0.5465565084711148,0.5234380429238522
cfc2cef34ef6670e0c896bab,0.4883217425447967,0.4100595256437243,0.4490972503788932
8082ced101e0137532d9b6cf,0.5836022417328942,0.5765466188982619,0.5377675028918514
